list_name,name,label,q101_country,q102_state,q103_district
subDistrict,Razole,Razole,India,AndhraPradesh,EastGodavari
subDistrict,Rowthulapudi,Rowthulapudi,India,AndhraPradesh,EastGodavari
subDistrict,Sakhinetipalle,Sakhinetipalle,India,AndhraPradesh,EastGodavari
subDistrict,Samalkota,Samalkota,India,AndhraPradesh,EastGodavari
subDistrict,Sankhavaram,Sankhavaram,India,AndhraPradesh,EastGodavari
subDistrict,Seethanagaram1,Seethanagaram1,India,AndhraPradesh,EastGodavari
subDistrict,Thallarevu,Thallarevu,India,AndhraPradesh,EastGodavari
subDistrict,Thondangi,Thondangi,India,AndhraPradesh,EastGodavari
subDistrict,Tuni,Tuni,India,AndhraPradesh,EastGodavari
subDistrict,Uppalaguptam,Uppalaguptam,India,AndhraPradesh,EastGodavari
subDistrict,Vararamachandrapuram,Vararamachandrapuram,India,AndhraPradesh,EastGodavari
subDistrict,YRamavaram,Y.Ramavaram,India,AndhraPradesh,EastGodavari
subDistrict,Yeleswaram,Yeleswaram,India,AndhraPradesh,EastGodavari
subDistrict,Amaravathi,Amaravathi,India,AndhraPradesh,Guntur
subDistrict,Amruthalur,Amruthalur,India,AndhraPradesh,Guntur
subDistrict,Atchampet,Atchampet,India,AndhraPradesh,Guntur
subDistrict,Bapatla,Bapatla,India,AndhraPradesh,Guntur
subDistrict,Bellamkonda,Bellamkonda,India,AndhraPradesh,Guntur
subDistrict,Bhattiprolu,Bhattiprolu,India,AndhraPradesh,Guntur
subDistrict,Bollapalle,Bollapalle,India,AndhraPradesh,Guntur
subDistrict,Chebrolu,Chebrolu,India,AndhraPradesh,Guntur
subDistrict,Cherukupalle,Cherukupalle,India,AndhraPradesh,Guntur
subDistrict,Chilakaluripet,Chilakaluripet,India,AndhraPradesh,Guntur
subDistrict,Dachepalle,Dachepalle,India,AndhraPradesh,Guntur
subDistrict,Duggirala,Duggirala,India,AndhraPradesh,Guntur
subDistrict,Durgi,Durgi,India,AndhraPradesh,Guntur
subDistrict,Edlapadu,Edlapadu,India,AndhraPradesh,Guntur
subDistrict,Guntur,Guntur,India,AndhraPradesh,Guntur
subDistrict,Gurazala,Gurazala,India,AndhraPradesh,Guntur
subDistrict,Ipur,Ipur,India,AndhraPradesh,Guntur
subDistrict,Kakumanu,Kakumanu,India,AndhraPradesh,Guntur
subDistrict,Karempudi,Karempudi,India,AndhraPradesh,Guntur
subDistrict,Karlapalem,Karlapalem,India,AndhraPradesh,Guntur
subDistrict,Kollipara,Kollipara,India,AndhraPradesh,Guntur
subDistrict,Kollur,Kollur,India,AndhraPradesh,Guntur
subDistrict,Krosuru,Krosuru,India,AndhraPradesh,Guntur
subDistrict,Machavaram,Machavaram,India,AndhraPradesh,Guntur
subDistrict,Macherla,Macherla,India,AndhraPradesh,Guntur
subDistrict,Mangalagiri,Mangalagiri,India,AndhraPradesh,Guntur
subDistrict,Medikonduru,Medikonduru,India,AndhraPradesh,Guntur
subDistrict,Muppalla,Muppalla,India,AndhraPradesh,Guntur
subDistrict,Nadendla,Nadendla,India,AndhraPradesh,Guntur
subDistrict,Nagaram,Nagaram,India,AndhraPradesh,Guntur
subDistrict,Narasaraopet,Narasaraopet,India,AndhraPradesh,Guntur
subDistrict,Nekarikallu,Nekarikallu,India,AndhraPradesh,Guntur
subDistrict,Nizampatnam,Nizampatnam,India,AndhraPradesh,Guntur
subDistrict,Nuzendla,Nuzendla,India,AndhraPradesh,Guntur
subDistrict,Pedakakani,Pedakakani,India,AndhraPradesh,Guntur
subDistrict,Pedakurapadu,Pedakurapadu,India,AndhraPradesh,Guntur
subDistrict,Pedanandipadu,Pedanandipadu,India,AndhraPradesh,Guntur
subDistrict,Phirangipuram,Phirangipuram,India,AndhraPradesh,Guntur
subDistrict,Piduguralla,Piduguralla,India,AndhraPradesh,Guntur
subDistrict,Pittalavanipalem,Pittalavanipalem,India,AndhraPradesh,Guntur
subDistrict,Ponnur,Ponnur,India,AndhraPradesh,Guntur
subDistrict,Prathipadu2,Prathipadu2,India,AndhraPradesh,Guntur
subDistrict,Rentachintala,Rentachintala,India,AndhraPradesh,Guntur
subDistrict,Repalle,Repalle,India,AndhraPradesh,Guntur
subDistrict,Rompicherla2,Rompicherla2,India,AndhraPradesh,Guntur
subDistrict,Sattenapalle,Sattenapalle,India,AndhraPradesh,Guntur
subDistrict,Savalyapuram,Savalyapuram,India,AndhraPradesh,Guntur
subDistrict,Tadepalle,Tadepalle,India,AndhraPradesh,Guntur
subDistrict,Tadikonda,Tadikonda,India,AndhraPradesh,Guntur
subDistrict,Tenali,Tenali,India,AndhraPradesh,Guntur
subDistrict,Thullur,Thullur,India,AndhraPradesh,Guntur
subDistrict,Tsundur,Tsundur,India,AndhraPradesh,Guntur
subDistrict,Vatticherukuru,Vatticherukuru,India,AndhraPradesh,Guntur
subDistrict,Veldurthi1,Veldurthi1,India,AndhraPradesh,Guntur
subDistrict,Vemuru,Vemuru,India,AndhraPradesh,Guntur
subDistrict,Vinukonda,Vinukonda,India,AndhraPradesh,Guntur
subDistrict,Rajupalem1,Rajupalem1,India,AndhraPradesh,Guntur
subDistrict,Atlur,Atlur,India,AndhraPradesh,Kadapa
subDistrict,BKodur,B.Kodur,India,AndhraPradesh,Kadapa
subDistrict,Badvel,Badvel,India,AndhraPradesh,Kadapa
subDistrict,Brahmamgarimattam,Brahmamgarimattam,India,AndhraPradesh,Kadapa
subDistrict,Chakrayapet,Chakrayapet,India,AndhraPradesh,Kadapa
subDistrict,Chapad,Chapad,India,AndhraPradesh,Kadapa
subDistrict,Chennur2,Chennur2,India,AndhraPradesh,Kadapa
subDistrict,Chinnamandem,Chinnamandem,India,AndhraPradesh,Kadapa
subDistrict,Chinthakommadinne,Chinthakommadinne,India,AndhraPradesh,Kadapa
subDistrict,Chitvel,Chitvel,India,AndhraPradesh,Kadapa
